Tree number,m1,m2,Average
1,7.62,7.59,76.05
2,4.95,5,49.75
3,6.35,6.55,64.5
4,9.04,9.27,91.55
5,6.78,6.83,68.05
6,5.44,5.61,55.25
7,7.26,7.44,73.5
8,6.88,6.55,67.15
9,7.26,7.21,72.35
10,8.03,8.41,82.2
11,2.97,2.87,29.2
12,7.65,7.34,74.95
13,6.15,5.89,60.2
14,7.87,7.62,77.45
15,7.49,7.47,74.8
16,5.41,5.56,54.85
17,7.49,7.14,73.15
18,7.21,7.67,74.4
19,7.04,7.06,70.5
20,7.87,7.92,78.95
21,6.4,6.5,64.5
22,7.95,7.98,79.65
23,5.54,5.38,54.6
24,7.47,7.39,74.3
25,6.53,6.91,67.2
26,7.95,7.77,78.6
27,6.65,6.78,67.15
28,6.65,6.63,66.4
29,4.83,4.85,48.4
30,6.4,6.43,64.15
31,6.63,6.58,66.05
32,6.93,7.09,70.1
33,7.49,7.39,74.4
34,5.74,5.79,57.65
35,6.96,7.19,70.75
36,6.48,6.27,63.75
37,6.45,6.25,63.5
38,7.37,7.39,73.8
39,7.62,7.8,77.1
40,6.86,6.65,67.55
41,6.99,7.24,71.15
42,7.04,6.55,67.95
43,6.3,6.27,62.85
44,6.55,6.6,65.75
45,7.24,7.34,72.9
46,4.32,4.67,44.95
47,6.38,6.5,64.4
48,2.59,2.62,26.05
49,6.88,7.01,69.45
50,7.49,7.59,75.4
51,5.69,5.61,56.5
52,8.05,7.8,79.25
53,6.71,6.76,67.35
54,5.89,5.92,59.05
55,6.58,6.76,66.7
56,6.83,6.76,67.95
57,6.99,6.96,69.75
58,7.01,7.19,71
59,6.76,6.71,67.35
60,6.99,7.06,70.25
61,6.81,6.73,67.7
62,5.89,5.77,58.3
63,4.62,5.59,51.05
64,6.22,6.32,62.7
65,5.59,5.51,55.5
66,7.37,7.54,74.55
67,6.17,6.15,61.6
68,7.77,7.62,76.95
69,6.71,6.48,65.95
70,6.78,6.73,67.55
71,7.54,7.54,75.4
72,6.81,6.71,67.6
73,6.58,6.45,65.15
74,8.56,8.33,84.45
75,2.79,2.72,27.55
76,6.5,6.48,64.9
77,8.31,8.84,85.75
78,4.7,5.13,49.15
79,7.52,7.72,76.2
